"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: kType","Param: size"
"org.example.SelectVsSortBenchmark.benchmarkArraysSort","avgt",1,3,0.000628,0.001276,"ms/op",1,100
"org.example.SelectVsSortBenchmark.benchmarkArraysSort","avgt",1,3,0.004508,0.005163,"ms/op",1,1000
"org.example.SelectVsSortBenchmark.benchmarkArraysSort","avgt",1,3,0.060302,0.074011,"ms/op",1,10000
"org.example.SelectVsSortBenchmark.benchmarkArraysSort","avgt",1,3,0.000622,0.000301,"ms/op",size/2,100
"org.example.SelectVsSortBenchmark.benchmarkArraysSort","avgt",1,3,0.004628,0.004367,"ms/op",size/2,1000
"org.example.SelectVsSortBenchmark.benchmarkArraysSort","avgt",1,3,0.052949,0.028733,"ms/op",size/2,10000
"org.example.SelectVsSortBenchmark.benchmarkArraysSort","avgt",1,3,0.000668,0.000695,"ms/op",size,100
"org.example.SelectVsSortBenchmark.benchmarkArraysSort","avgt",1,3,0.004672,0.004587,"ms/op",size,1000
"org.example.SelectVsSortBenchmark.benchmarkArraysSort","avgt",1,3,0.052745,0.023655,"ms/op",size,10000
"org.example.SelectVsSortBenchmark.benchmarkMergeSort","avgt",1,3,0.001520,0.000769,"ms/op",1,100
"org.example.SelectVsSortBenchmark.benchmarkMergeSort","avgt",1,3,0.027154,0.034421,"ms/op",1,1000
"org.example.SelectVsSortBenchmark.benchmarkMergeSort","avgt",1,3,0.874297,0.967028,"ms/op",1,10000
"org.example.SelectVsSortBenchmark.benchmarkMergeSort","avgt",1,3,0.001514,0.000459,"ms/op",size/2,100
"org.example.SelectVsSortBenchmark.benchmarkMergeSort","avgt",1,3,0.024902,0.009527,"ms/op",size/2,1000
"org.example.SelectVsSortBenchmark.benchmarkMergeSort","avgt",1,3,0.914032,0.639347,"ms/op",size/2,10000
"org.example.SelectVsSortBenchmark.benchmarkMergeSort","avgt",1,3,0.001547,0.000485,"ms/op",size,100
"org.example.SelectVsSortBenchmark.benchmarkMergeSort","avgt",1,3,0.026056,0.020973,"ms/op",size,1000
"org.example.SelectVsSortBenchmark.benchmarkMergeSort","avgt",1,3,0.870796,0.251974,"ms/op",size,10000
"org.example.SelectVsSortBenchmark.benchmarkQuickSort","avgt",1,3,0.006478,0.003461,"ms/op",1,100
"org.example.SelectVsSortBenchmark.benchmarkQuickSort","avgt",1,3,0.086032,0.207457,"ms/op",1,1000
"org.example.SelectVsSortBenchmark.benchmarkQuickSort","avgt",1,3,0.984525,0.119640,"ms/op",1,10000
"org.example.SelectVsSortBenchmark.benchmarkQuickSort","avgt",1,3,0.006359,0.000554,"ms/op",size/2,100
"org.example.SelectVsSortBenchmark.benchmarkQuickSort","avgt",1,3,0.086271,0.132432,"ms/op",size/2,1000
"org.example.SelectVsSortBenchmark.benchmarkQuickSort","avgt",1,3,0.985595,0.907444,"ms/op",size/2,10000
"org.example.SelectVsSortBenchmark.benchmarkQuickSort","avgt",1,3,0.006719,0.005745,"ms/op",size,100
"org.example.SelectVsSortBenchmark.benchmarkQuickSort","avgt",1,3,0.083828,0.040396,"ms/op",size,1000
"org.example.SelectVsSortBenchmark.benchmarkQuickSort","avgt",1,3,1.000463,1.970039,"ms/op",size,10000
"org.example.SelectVsSortBenchmark.benchmarkSelect","avgt",1,3,0.001360,0.001020,"ms/op",1,100
"org.example.SelectVsSortBenchmark.benchmarkSelect","avgt",1,3,0.015835,0.004837,"ms/op",1,1000
"org.example.SelectVsSortBenchmark.benchmarkSelect","avgt",1,3,0.381251,0.141751,"ms/op",1,10000
"org.example.SelectVsSortBenchmark.benchmarkSelect","avgt",1,3,0.001491,0.001099,"ms/op",size/2,100
"org.example.SelectVsSortBenchmark.benchmarkSelect","avgt",1,3,0.016027,0.004437,"ms/op",size/2,1000
"org.example.SelectVsSortBenchmark.benchmarkSelect","avgt",1,3,0.405738,0.130806,"ms/op",size/2,10000
"org.example.SelectVsSortBenchmark.benchmarkSelect","avgt",1,3,0.001464,0.000319,"ms/op",size,100
"org.example.SelectVsSortBenchmark.benchmarkSelect","avgt",1,3,0.020536,0.067129,"ms/op",size,1000
"org.example.SelectVsSortBenchmark.benchmarkSelect","avgt",1,3,0.410506,0.323079,"ms/op",size,10000
